OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,geoname,Median_Housing_Value,houses,lessthan10k,a10kto14999,a15kto19999,a20kto24999,a25kto29999,a30kto34999,a35kto39999,a40kto49999,a50kto59999,a60kto69999,a70kto79999,a80kto89999,a90kto99999,a100kto124999,a125kto149999,a150kto174999,a175kto199999,a200kto249999,a250kto299999,a300kto399999,a400kto499999,a500kto749999,a750kto999999,a1Mto1499999,a1500000to1999999,a2MorMore,Units_with_cash_rent,MedianGrossRent,GlobalID,Shape__Area,Shape__Length,High_Affordability,Moderate_Affordability,Low_Affordability,Affordability_Index,Affordability_Index_Category,Housing_Value_Range,Rent_Level,Total_Units,pct_high_affordbility,pct_moderate_affordbility,pct_low_affordbility,Weighted_Housing_Value,Affordable_per_House,Neighborhood,Log_Housing_Value,Log_MedianRent,Affordability_Score
3229,37,119,4100,2,371190041002,Block Group 2,"Block Group 2, Census Tract 41, Mecklenburg County, North Carolina",298400.0,452.0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,32,22,6,65,95,121,85,17,0,0,0,0,511,1414.0,fe2e009b-4a73-46f2-8ade-63a5c3a764d7,12276062.7789307,15281.0549219814,41,309,102,0.09070796460176991,Low,150k-300k,Moderate,452,0.09070796460176991,0.6836283185840708,0.22566371681415928,134876800.0,0.09070796460176991,Block Group 2,12.606193498512562,7.254884810077338,-0.13495575221238937
3230,37,119,5617,2,371190056172,Block Group 2,"Block Group 2, Census Tract 56.17, Mecklenburg County, North Carolina",225000.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,5,6,0,0,0,0,0,0,0,0,,6d13dd9f-a4ab-4deb-b2d7-b22b944d5d60,23861337.7319946,23443.0710661399,5,12,0,0.29411764705882354,Low,150k-300k,,17,0.29411764705882354,0.7058823529411765,0.0,3825000.0,0.29411764705882354,Block Group 2,12.323860125621126,,0.29411764705882354
3231,37,119,5816,2,371190058162,Block Group 2,"Block Group 2, Census Tract 58.16, Mecklenburg County, North Carolina",342600.0,216.0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,58,94,33,0,0,0,0,21,271,1217.0,04619958-e676-4b12-bbe8-f7107268da4b,12532898.8013916,18235.2165444334,10,152,54,0.046296296296296294,Low,300k-500k,Moderate,216,0.046296296296296294,0.7037037037037037,0.25,74001600.0,0.046296296296296294,Block Group 2,12.744321783723706,7.1049654482698426,-0.20370370370370372
3232,37,119,5842,3,371190058423,Block Group 3,"Block Group 3, Census Tract 58.42, Mecklenburg County, North Carolina",324100.0,938.0,9,0,0,0,0,19,0,0,0,0,0,0,0,1,0,11,37,226,77,369,189,0,0,0,0,0,285,1801.0,20c8af13-b765-4a31-b5fc-0329df97b9fb,20788102.9438477,20208.0280937321,29,720,189,0.03091684434968017,Low,300k-500k,High,938,0.03091684434968017,0.767590618336887,0.20149253731343283,304005800.0,0.03091684434968017,Block Group 3,12.688810474592326,7.496652438168283,-0.17057569296375266
3233,37,119,3204,1,371190032041,Block Group 1,"Block Group 1, Census Tract 32.04, Mecklenburg County, North Carolina",341000.0,392.0,0,0,0,0,0,0,0,0,0,0,0,0,10,19,29,6,63,17,20,78,106,44,0,0,0,0,161,1177.0,c2f6c4a8-c76f-4f7c-8ab4-1d78ac854a80,6504689.12322998,12432.5194087463,58,184,150,0.14795918367346939,Low,300k-500k,Moderate,392,0.14795918367346939,0.46938775510204084,0.3826530612244898,133672000.0,0.14795918367346939,Block Group 1,12.739640688812674,7.071573364211532,-0.2346938775510204
3234,37,119,4304,2,371190043042,Block Group 2,"Block Group 2, Census Tract 43.04, Mecklenburg County, North Carolina",95000.0,253.0,0,0,0,0,0,0,0,0,34,27,22,29,29,10,102,0,0,0,0,0,0,0,0,0,0,0,116,1112.0,45eb6034-2075-4330-96b4-72cbb8709788,16617620.4569702,18636.6528896776,253,0,0,1.0,High,<150k,Moderate,253,1.0,0.0,0.0,24035000.0,1.0,Block Group 2,11.461642696843066,7.014814351275545,1.0
3235,37,119,6106,2,371190061062,Block Group 2,"Block Group 2, Census Tract 61.06, Mecklenburg County, North Carolina",163400.0,357.0,0,0,6,0,0,0,0,0,0,32,0,0,9,68,27,68,52,31,58,6,0,0,0,0,0,0,793,1252.0,54d99be0-f03a-4a8b-b1fc-50dafb735527,50694849.3511963,29135.6624496986,142,215,0,0.39775910364145656,Moderate,150k-300k,Moderate,357,0.39775910364145656,0.6022408963585434,0.0,58333800.0,0.39775910364145656,Block Group 2,12.003962581340353,7.133295954896068,0.39775910364145656
3236,37,119,6215,1,371190062151,Block Group 1,"Block Group 1, Census Tract 62.15, Mecklenburg County, North Carolina",191000.0,480.0,0,11,17,0,0,0,0,8,18,11,11,8,14,21,55,18,75,60,40,76,23,14,0,0,0,0,546,1167.0,e49b3c50-b1d3-4396-931e-35253c949bea,138189698.289246,51262.3733605425,174,269,37,0.3625,Moderate,150k-300k,Moderate,480,0.3625,0.5604166666666667,0.07708333333333334,91680000.0,0.3625,Block Group 1,12.160033942617156,7.0630481633881725,0.28541666666666665
3237,37,119,6007,3,371190060073,Block Group 3,"Block Group 3, Census Tract 60.07, Mecklenburg County, North Carolina",301100.0,836.0,0,0,0,0,0,0,0,0,0,0,0,108,0,48,48,90,0,0,121,281,38,81,21,0,0,0,206,1178.0,1a1b463f-cffc-4aca-9b28-79a22fcd3105,35925536.8218994,29452.1526534853,204,492,140,0.24401913875598086,Low,300k-500k,Moderate,836,0.24401913875598086,0.5885167464114832,0.1674641148325359,251719600.0,0.24401913875598086,Block Group 3,12.615201035620073,7.072421900537371,0.07655502392344496
3238,37,119,400,1,371190004001,Block Group 1,"Block Group 1, Census Tract 4, Mecklenburg County, North Carolina",446900.0,81.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,23,16,32,0,0,0,0,1092,1464.0,adf95d49-e9e1-47e7-93b3-f8ccd6094075,11053141.4921265,15701.8709308742,0,33,48,0.0,,300k-500k,Moderate,81,0.0,0.4074074074074074,0.5925925925925926,36198900.0,0.0,Block Group 1,13.010092372556095,7.289610521451167,-0.5925925925925926
