OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,geoname,Median_Housing_Value,houses,lessthan10k,a10kto14999,a15kto19999,a20kto24999,a25kto29999,a30kto34999,a35kto39999,a40kto49999,a50kto59999,a60kto69999,a70kto79999,a80kto89999,a90kto99999,a100kto124999,a125kto149999,a150kto174999,a175kto199999,a200kto249999,a250kto299999,a300kto399999,a400kto499999,a500kto749999,a750kto999999,a1Mto1499999,a1500000to1999999,a2MorMore,Units_with_cash_rent,MedianGrossRent,GlobalID,Shape__Area,Shape__Length
2894,37,119,003109,2,371190031092,Block Group 2,"Block Group 2, Census Tract 31.09, Mecklenburg County, North Carolina",34200,61,0,7,0,16,0,9,0,9,9,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,516,994,b39494d6-7937-4672-ad23-8b0dfd5682e2,2723502.76171875,7958.97505148932
2895,37,119,005514,2,371190055142,Block Group 2,"Block Group 2, Census Tract 55.14, Mecklenburg County, North Carolina",300000,386,17,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,92,32,34,89,49,55,0,0,0,0,570,1165,2ab39383-54ff-4a62-b317-2a71076b0b9a,17265535.4144897,28853.4691935558
2896,37,119,004800,3,371190048003,Block Group 3,"Block Group 3, Census Tract 48, Mecklenburg County, North Carolina",92300,194,0,0,0,0,0,7,0,0,29,11,6,37,30,7,0,7,0,0,32,21,7,0,0,0,0,0,282,696,044710dd-b339-4820-847f-506364ba4312,16954671.2280884,20407.5428301744
2897,37,119,005401,2,371190054012,Block Group 2,"Block Group 2, Census Tract 54.01, Mecklenburg County, North Carolina",98300,622,0,26,0,0,0,0,16,0,36,15,43,58,141,116,0,92,24,14,13,0,0,28,0,0,0,0,450,931,495d4557-0075-4d04-8a7f-92d3b9e7c05b,53457346.7652588,37422.0303526992
2898,37,119,005401,1,371190054011,Block Group 1,"Block Group 1, Census Tract 54.01, Mecklenburg County, North Carolina",123400,631,12,13,0,19,0,0,0,0,15,10,0,27,107,120,257,51,0,0,0,0,0,0,0,0,0,0,529,1155,5656c6d7-49b6-4a5b-ae52-141db740f297,44936481.3699951,33132.1758292003
2899,37,119,000500,3,371190005003,Block Group 3,"Block Group 3, Census Tract 5, Mecklenburg County, North Carolina",298200,395,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,60,98,160,0,34,0,0,0,0,347,1662,af5e3158-c57b-4dda-9326-a9a7abfc8798,9806734.04003906,12869.5786271531
2900,37,119,005812,1,371190058121,Block Group 1,"Block Group 1, Census Tract 58.12, Mecklenburg County, North Carolina",305100,768,0,0,0,0,0,0,0,0,0,0,0,0,0,17,46,0,42,95,174,198,149,47,0,0,0,0,250,1090,8ee6b5a6-369a-4157-b92f-e5e6e162ba7c,25083813.3829346,22166.2679555035
2901,37,119,001918,1,371190019181,Block Group 1,"Block Group 1, Census Tract 19.18, Mecklenburg County, North Carolina",135300,156,0,0,0,0,0,0,0,9,11,0,0,0,17,13,68,11,0,9,18,0,0,0,0,0,0,0,67,922,6bd8f01b-774c-4274-997a-b7dd337a70d3,6493990.65911865,11691.5582155558
2902,37,119,004302,2,371190043022,Block Group 2,"Block Group 2, Census Tract 43.02, Mecklenburg County, North Carolina",88400,308,0,0,0,0,0,0,0,12,19,68,34,25,31,13,69,28,0,9,0,0,0,0,0,0,0,0,655,893,e31915fa-4f8d-4fb1-8f73-3f91a842c227,17850241.1490479,24481.4186401797
2903,37,119,005826,1,371190058261,Block Group 1,"Block Group 1, Census Tract 58.26, Mecklenburg County, North Carolina",162200,202,0,0,0,0,0,0,0,0,0,0,7,0,0,29,41,49,43,20,13,0,0,0,0,0,0,0,21,1239,9639cf63-ac84-4af5-820b-1d7321a3afd9,20144837.769104,18271.2640153265
