OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,geoname,Median_Housing_Value,houses,lessthan10k,a10kto14999,a15kto19999,a20kto24999,a25kto29999,a30kto34999,a35kto39999,a40kto49999,a50kto59999,a60kto69999,a70kto79999,a80kto89999,a90kto99999,a100kto124999,a125kto149999,a150kto174999,a175kto199999,a200kto249999,a250kto299999,a300kto399999,a400kto499999,a500kto749999,a750kto999999,a1Mto1499999,a1500000to1999999,a2MorMore,Units_with_cash_rent,MedianGrossRent,GlobalID,Shape__Area,Shape__Length,Affordable,Middle,HighEnd,Affordability_Index
3055,37,119,2906,1,371190029061,Block Group 1,"Block Group 1, Census Tract 29.06, Mecklenburg County, North Carolina",552100.0,225.0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,23,0,0,0,17,25,22,36,57,27,0,0,271,1065.0,dc53bbbc-983b-4c79-bfb2-b742b9ed76e4,6905975.47888184,14680.679523166,41,42,142,0.18222222222222223
3056,37,119,500,1,371190005001,Block Group 1,"Block Group 1, Census Tract 5, Mecklenburg County, North Carolina",208400.0,363.0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,56,77,17,134,13,37,9,0,3,8,0,0,752,1188.0,0d2481bc-d493-471b-9067-02eb90a50144,5132124.75915527,11228.4937011256,65,278,20,0.1790633608815427
3057,37,119,5521,1,371190055211,Block Group 1,"Block Group 1, Census Tract 55.21, Mecklenburg County, North Carolina",97000.0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,15,0,0,0,0,0,0,0,403,1206.0,ce93c89d-10ef-4e6d-b790-3051d4082e35,4310365.94622803,9501.24994722363,17,15,0,0.53125
3058,37,119,2906,2,371190029062,Block Group 2,"Block Group 2, Census Tract 29.06, Mecklenburg County, North Carolina",460600.0,465.0,11,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,10,62,26,46,113,180,8,0,0,0,549,1692.0,2879ccf8-519b-480a-b64f-a0a121517bdf,13632767.8873291,18186.9757748175,20,144,301,0.043010752688172046
3059,37,119,3802,3,371190038023,Block Group 3,"Block Group 3, Census Tract 38.02, Mecklenburg County, North Carolina",78500.0,55.0,0,0,0,0,0,0,9,0,0,10,10,0,16,0,0,10,0,0,0,0,0,0,0,0,0,0,0,,d6dfa063-73c2-4102-80e5-533ad40cf335,36687844.2548218,36151.732665398,45,10,0,0.8181818181818182
3060,37,119,5832,1,371190058321,Block Group 1,"Block Group 1, Census Tract 58.32, Mecklenburg County, North Carolina",587200.0,736.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,29,24,173,344,102,42,0,0,329,1249.0,11b9026d-0761-423d-953f-72a05678c657,32163174.4959717,27866.2925143825,0,75,661,0.0
3061,37,119,3011,5,371190030115,Block Group 5,"Block Group 5, Census Tract 30.11, Mecklenburg County, North Carolina",388800.0,505.0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,71,17,117,40,46,90,102,10,0,0,121,1665.0,0bf275fa-3201-4f84-8de6-31ed022ed4bf,12794467.3950806,17498.6158161386,12,245,248,0.023762376237623763
3062,37,119,1510,2,371190015102,Block Group 2,"Block Group 2, Census Tract 15.10, Mecklenburg County, North Carolina",114600.0,189.0,0,0,0,0,0,0,0,0,0,0,0,33,17,76,35,28,0,0,0,0,0,0,0,0,0,0,230,826.0,1ee6f137-1029-4ddf-bfc5-8474a2a361b1,5807319.62011719,9669.93688752834,161,28,0,0.8518518518518519
3063,37,119,3018,1,371190030181,Block Group 1,"Block Group 1, Census Tract 30.18, Mecklenburg County, North Carolina",335800.0,778.0,0,0,0,13,0,12,0,0,0,0,10,9,7,10,9,60,29,124,44,173,104,145,29,0,0,0,425,1219.0,da9761c0-a13a-436c-bc14-5dd7c168132c,19976956.6796875,19467.0088429146,70,430,278,0.08997429305912596
3064,37,119,5847,3,371190058473,Block Group 3,"Block Group 3, Census Tract 58.47, Mecklenburg County, North Carolina",254300.0,323.0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,60,19,53,100,48,22,0,0,0,0,0,83,1699.0,dd2ef324-6d8c-4ae0-ac0a-dfb2b7300b0c,12095935.0618896,21880.1063560135,21,280,22,0.06501547987616099
